date,open,high,low,close,volume,return,target,sma,ema,rsi,STOCHk_14_3_3,STOCHd_14_3_3,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,cci,adosc,roc,mom
2005-02-22,86.3,88.3,85.29,85.29,21773100.0,-0.01750950351342,0,84.229,84.39992783559121,66.2246391371927,71.15793792054014,82.54381463301185,5.273722704474324,0.22890684806155104,5.0448158564127725,63.34903808402032,11666220.31887076,8.044084114517366,6.3500000000000085
2005-02-23,86.69,88.45,85.55,88.23,24021100.0,0.0344706296166021,1,84.962,85.09630459275645,70.51800049420801,71.19730246312531,75.49513562062572,5.251323011157339,0.16520572379565301,5.086117287361686,70.45275280012659,12130439.228030361,9.060568603213841,7.329999999999998
2005-02-24,88.48,89.31,87.73,88.93,27125500.0,0.007933809361895,1,85.98100000000001,85.79334012134619,71.44859466504415,76.11345522737933,72.82289853701492,5.2297697128473715,0.1149219403885482,5.114847772458823,79.85277644423117,15696876.941714846,12.94132588265178,10.190000000000012
2005-02-25,89.62,89.91,88.19,88.99,16348400.0,0.0006746879568197,1,87.04400000000001,86.37455100837414,71.53154253211214,84.78668541959685,77.36581437003383,5.158071035107682,0.034578610119086584,5.123492424988595,75.94964403131563,15365971.633267075,13.565594691168958,10.629999999999995
2005-02-28,44.68,45.14,43.96,44.86,11635900.0,-0.4958984155523092,0,83.40899999999999,78.82645082503338,21.668668072316155,58.30464638616409,73.0682623443801,1.5227735407520129,-2.880575107389266,4.403348648141279,-366.717777158257,15778987.756910175,-44.76049747568033,-36.349999999999994
2005-03-01,44.99,45.11,44.16,44.5,16721000.0,-0.0080249665626392,0,79.396,72.58527794775458,21.536777516433638,29.925971489311184,57.672434431690704,-1.3714655051477678,-4.619851322631237,3.248385817483469,-228.16280314389468,13001405.035332173,-47.41817322462484,-40.129999999999995
2005-03-02,44.25,44.89,44.08,44.121,16362900.0,-0.0085168539325841,0,74.9671,67.40995468452647,21.389173937985344,1.137396987780619,29.789338287751963,-3.653636090908009,-5.521617526713182,1.8679814358051738,-156.37555765226224,6003863.363191828,-50.095011876484556,-44.288999999999994
2005-03-03,44.34,44.41,41.22,41.79,50416200.0,-0.0528319847691576,0,70.1331,62.75178110552166,20.460383610859342,0.8806124900245232,10.647993655705442,-5.585973318031748,-5.963163803069537,0.3771904850377894,-122.56396489979005,-7713385.705835141,-53.63364029734828,-48.339999999999996
2005-03-04,42.76,43.01,41.85,42.81,27022100.0,0.0244077530509692,1,65.63309999999998,59.12600272269953,22.05535370290789,1.5642381264494019,1.1940825347515147,-6.954887404034338,-5.865662311257702,-1.089225092776636,-97.211931653987,-6990637.01630155,-51.247010591048856,-45.0
2005-03-07,42.8,43.25,42.35,42.75,16094000.0,-0.0014015416958654,0,61.22709999999999,56.14854768220871,22.02737242735006,2.4768425291985534,1.640564381890826,-7.952926788748208,-5.490961356777257,-2.4619654319709507,-80.18699713388973,-6628434.439808339,-50.754521368505934,-44.06
2005-03-08,41.9,42.16,40.1,40.53,36480400.0,-0.0519298245614034,0,56.75110000000001,53.30881173998894,20.967423462041673,2.376504195973875,2.13919495054061,-8.821328850404399,-5.087490734746758,-3.7338381156576403,-73.3939298061953,-12639267.942451835,-52.479774885684144,-44.760000000000005
2005-03-09,39.61,40.28,38.83,39.35,47230900.0,-0.0291142363681223,0,51.86310000000001,50.77084596908186,20.405366443763352,1.642259974396189,2.165202233189539,-9.495303926056359,-4.6091726483189746,-4.886131277737384,-68.11695568703274,-18198521.33356111,-55.4006573727757,-48.88
2005-03-10,39.59,40.26,39.1,39.83,27753900.0,0.0121982210927571,1,46.95309999999999,48.78160124743061,21.329198014603463,1.267847616932914,1.7622039291009923,-9.876847886455394,-3.992573286974408,-5.884274599480986,-60.40183967695768,-16534526.267311871,-55.21196446643428,-49.10000000000001
2005-03-11,40.21,40.59,39.8,40.27,22601100.0,0.011046949535526,1,42.081100000000006,47.2340373842614,22.220389236172743,1.9252866862199849,1.6117980925163626,-10.02812195358905,-3.3150778832864507,-6.713044070302599,-53.67190875754711,-12985233.32005148,-54.74772446342285,-48.71999999999999
2005-03-14,40.52,40.79,39.52,40.32,21620900.0,0.0012416190712689,1,41.6271,45.976939678032046,22.328066361034384,2.564604541895071,1.9192462816826568,-10.028372325803865,-2.6522626044010122,-7.376109721402853,-50.0662895312647,-8565219.360849015,-10.120374498439588,-4.539999999999999
2005-03-15,40.64,41.14,40.25,40.96,18164600.0,0.0158730158730158,1,41.2731,45.06476882748076,23.782543139599717,3.3020099190811862,2.5973003823987475,-9.863230910008596,-1.9896969508845945,-7.873533959124002,-45.35465774842372,-2536564.1884525344,-7.955056179775278,-3.539999999999999
2005-03-16,41.21,42.31,40.78,41.18,24921900.0,0.00537109375,1,40.979,44.35844722248425,24.3072591268395,3.8958496476115942,3.254154702862617,-9.603895260482297,-1.3842890410866353,-8.219606219395661,-40.56939733925354,-3623148.884217132,-6.665760068901435,-2.9410000000000025
2005-03-17,41.53,42.88,41.32,42.25,28640000.0,0.0259834871296746,1,41.025,43.975093182032566,26.94168085343525,20.990079677797407,9.395979748163397,-9.205909834095777,-0.7890428917600918,-8.416866942335686,12.014987999978699,-1985836.0814717337,1.1007418042593942,0.46000000000000085
2005-03-18,43.33,43.44,42.5,42.96,33576800.0,0.0168047337278107,1,41.04,43.790530785299374,28.71460789869071,41.521546907088464,22.135825410832485,-8.732549060327472,-0.25254569439342944,-8.480003365934042,58.86924602828398,-1362804.8365784138,0.3503854239663597,0.14999999999999858
2005-03-21,43.29,43.97,42.86,43.7,19326000.0,0.0172253258845438,1,41.135000000000005,43.774070642517664,30.604811571063472,66.77568351887025,43.09577003458538,-8.203134789593584,0.22149486107236704,-8.42462965066595,94.5339523871181,2173650.8912548944,2.222222222222229,0.9500000000000028
2005-03-22,43.71,43.96,42.68,42.83,19693400.0,-0.019908466819222,0,41.365,43.60242143478718,29.610713683197805,72.6039851091472,60.30040517836864,-7.764270220903583,0.5282875438098955,-8.292557764713479,86.49220195611973,-1374690.7386092097,5.674808783617067,2.299999999999997
